Code,city,lat,lon,traffic,airport
ORD,Chicago,41.979595,-87.90446417,25129,Chicago O'Hare International
ATL,Atlanta,33.64044444,-84.42694444,21925,William B Hartsfield-Atlanta Intl
DFW,Dallas-Fort Worth,32.89595056,-97.0372,20662,Dallas-Fort Worth International
PHX,Phoenix,33.43416667,-112.0080556,17290,Phoenix Sky Harbor International
DEN,Denver,39.85840806,-104.6670019,13781,Denver Intl
IAH,Houston,29.98047222,-95.33972222,13223,George Bush Intercontinental
SFO,San Francisco,37.61900194,-122.3748433,12016,San Francisco International
LAX,Los Angeles,33.94253611,-118.4080744,11797,Los Angeles International
MCO,Orlando,28.42888889,-81.31602778,10536,Orlando International
CLT,Charlotte,35.21401111,-80.94312583,10490,Charlotte/Douglas International
SLC,Salt Lake City,40.78838778,-111.9777731,9898,Salt Lake City Intl
TPA,Tampa,27.97547222,-82.53325,9182,Tampa International 
EWR,Newark,40.69249722,-74.16866056,8678,Newark Intl
LAS,Las Vegas,36.08036111,-115.1523333,8523,McCarran International
PHL,Philadelphia,39.87195278,-75.24114083,7965,Philadelphia Intl
MSP,Minneapolis,44.88054694,-93.2169225,7690,Minneapolis-St Paul Intl
SEA,Seattle,47.44898194,-122.3093131,7541,Seattle-Tacoma Intl
LGA,New York,40.77724306,-73.87260917,7392,LaGuardia
MDW,Chicago,41.7859825,-87.75242444,6979,Chicago Midway
IAD,Chantilly,38.94453194,-77.45580972,6779,Washington Dulles International
SAN,San Diego,32.73355611,-117.1896567,6233,San Diego International-Lindbergh 
STL,St Louis,38.74768694,-90.35998972,6204,Lambert-St Louis International
DTW,Detroit,42.21205889,-83.34883583,6044,Detroit Metropolitan-Wayne County
JFK,New York,40.63975111,-73.77892556,5945,John F Kennedy Intl
MIA,Miami,25.79325,-80.29055556,5907,Miami International
BOS,Boston,42.3643475,-71.00517917,5627,Gen Edw L Logan Intl
SMF,Sacramento,38.69542167,-121.5907669,4943,Sacramento International
BWI,Baltimore,39.17540167,-76.66819833,4749,Baltimore-Washington International
SNA,Santa Ana,33.67565861,-117.8682225,4616,John Wayne /Orange Co
MSY,New Orleans,29.99338889,-90.25802778,4432,New Orleans International 
SJC,San Jose,37.36186194,-121.9290089,4367,San Jose International
DCA,Arlington,38.85208333,-77.03772222,4332,Ronald Reagan Washington National
PDX,Portland,45.58872222,-122.5975,4071,Portland Intl
RSW,Ft. Myers,26.53616667,-81.75516667,4057,Southwest Florida International
PBI,West Palm Beach,26.68316194,-80.09559417,3972,Palm Beach International
RDU,Raleigh,35.87763889,-78.78747222,3896,Raleigh-Durham International
HOU,Houston,29.64541861,-95.27888889,3824,William P Hobby
SAT,San Antonio,29.53369444,-98.46977778,3654,San Antonio International
FLL,Ft. Lauderdale,26.07258333,-80.15275,3616,Fort Lauderdale-Hollywood Int'l
MCI,Kansas City,39.29760528,-94.71390556,3403,Kansas City International
OAK,Oakland,37.72129083,-122.2207167,3386,Metropolitan Oakland International
PIT,Pittsburgh,40.49146583,-80.23287083,3180,Pittsburgh International
MEM,Memphis,35.04241667,-89.97666667,3058,Memphis International
MKE,Milwaukee,42.94722222,-87.89658333,3030,General Mitchell International
CLE,Cleveland,41.41089417,-81.84939667,3015,Cleveland-Hopkins Intl
JAX,Jacksonville,30.49405556,-81.68786111,3005,Jacksonville International
TUS,Tucson,32.11608333,-110.9410278,2786,Tucson International
IND,Indianapolis,39.71732917,-86.29438417,2136,Indianapolis International
RNO,Reno,39.49857611,-119.7680647,2104,Reno/Tahoe International
OKC,Oklahoma City,35.39308833,-97.60073389,2104,Will Rogers World
PVD,Providence,41.72399917,-71.42822111,2044,Theodore F Green State
TUL,Tulsa,36.19837222,-95.88824167,2003,Tulsa International
CVG,Covington,39.04614278,-84.6621725,1986,Cincinnati Northern Kentucky Intl
CMH,Columbus,39.99798528,-82.89188278,1752,Port Columbus Intl
SDF,Louisville,38.17438889,-85.736,1716,Louisville International-Standiford 
ONT,Ontario,34.056,-117.6011944,1622,Ontario International
LIT,Little Rock,34.72939611,-92.22424556,1620,Adams 
DAL,Dallas,32.84711389,-96.85177222,1502,Dallas Love 
OMA,Omaha,41.30251861,-95.89417306,1474,Eppley Airfield
ORF,Norfolk,36.89461111,-76.20122222,1439,Norfolk International
DAY,Dayton,39.90237583,-84.219375,1337,James M Cox Dayton Intl
ROC,Rochester,43.11886611,-77.67238389,1327,Greater Rochester Int'l
XNA,Fayetteville/Springdale/Rogers,36.28186944,-94.30681111,1310,Northwest Arkansas Regional
BNA,Nashville,36.12447667,-86.67818222,1299,Nashville International
ABQ,Albuquerque,35.04022222,-106.6091944,1258,Albuquerque International
JAN,Jackson,32.31116667,-90.07588889,1224,Jackson International
ELP,El Paso,31.80666667,-106.3778056,1206,El Paso International
RIC,Richmond,37.50516667,-77.31966667,1199,Richmond International
BDL,Windsor Locks,41.93887417,-72.68322833,1162,Bradley International
MAF,Midland,31.94252778,-102.2019139,1103,Midland International
BTR,Baton Rouge,30.53316083,-91.14963444,1095,"Baton Rouge Metropolitan, Ryan "
TYS,Knoxville,35.81248722,-83.99285583,1052,McGhee-Tyson
COS,Colorado Springs,38.80580556,-104.70025,1040,City of Colorado Springs Muni
